Source,Target,Type,weight,series
TONY STARK,SCOTT LANG,Undirected,49,4
TONY STARK,HOWARD STARK,Undirected,45,4
FRIGGA,THOR,Undirected,35,4
BRUCE BANNER,STEVE ROGERS,Undirected,31,4
BRUCE BANNER,THE ANCIENT ONE,Undirected,28,4
TONY STARK,MORGAN STARK,Undirected,26,4
THOR,TONY STARK,Undirected,22,4
SCOTT LANG,STEVE ROGERS,Undirected,22,4
NATASHA ROMANOFF,STEVE ROGERS,Undirected,20,4
BRUCE BANNER,THOR,Undirected,19,4
NATASHA ROMANOFF,BRUCE BANNER,Undirected,17,4
SCOTT LANG,JAMES RHODES,Undirected,14,4
TONY STARK,JAMES RHODES,Undirected,13,4
THOR,KORG,Undirected,13,4
THOR,PETER QUILL,Undirected,13,4
GAMORA,THANOS,Undirected,12,4
STEVE ROGERS,HANK PYM,Undirected,9,4
VALKYRIE,THOR,Undirected,9,4
TONY STARK,FRIDAY,Undirected,9,4
CLINT BARTON,LILA BARTON,Undirected,9,4
NATASHA ROMANOFF,TONY STARK,Undirected,9,4
CAROL DANVERS,NATASHA ROMANOFF,Undirected,8,4
ROCKET,BRUCE BANNER,Undirected,8,4
THOR,CLINT BARTON,Undirected,8,4
BRUCE BANNER,VALKYRIE,Undirected,8,4
SCOTT LANG,ROCKET,Undirected,8,4
NATASHA ROMANOFF,RED SKULL,Undirected,7,4
SAM WILSON,BRUCE BANNER,Undirected,7,4
HAPPY,MORGAN STARK,Undirected,7,4
THOR,STEVE ROGERS,Undirected,6,4
SECURITY OFFICER,ELEVATOR LADY,Undirected,6,4
ROCKET,CAROL DANVERS,Undirected,6,4
JAMES RHODES,CAROL DANVERS,Undirected,6,4
JAMES RHODES,CLINT BARTON,Undirected,5,4
BRUCE BANNER,GIRL,Undirected,5,4
THOR,SCOTT LANG,Undirected,5,4
NEBULA,NATASHA ROMANOFF,Undirected,5,4
ALEXANDER PIERCE,THOR,Undirected,5,4
NEBULA,TONY STARK,Undirected,5,4
FRIGGA,ROCKET,Undirected,5,4
ROCKET,STEVE ROGERS,Undirected,5,4
THANOS,BRUCE BANNER,Undirected,5,4
ROCKET,NATASHA ROMANOFF,Undirected,4,4
BRUCE BANNER,NEBULA,Undirected,4,4
CLINT BARTON,LAURA BARTON,Undirected,4,4
TONY STARK,ROCKET,Undirected,4,4
STEVE ROGERS,JAMES RHODES,Undirected,4,4
NATASHA ROMANOFF,OKOYE,Undirected,4,4
SCOTT LANG,NEBULA,Undirected,4,4
JASPER SITWELL,STEVE ROGERS,Undirected,4,4
TONY STARK,CLINT BARTON,Undirected,4,4
THANOS,CORVUS GLAIVE,Undirected,3,4
EBONY MAW,NEBULA,Undirected,3,4
JAMES RHODES,THOR,Undirected,3,4
THE WASP,SCOTT LANG,Undirected,3,4
STEVE ROGERS,RUMLOW (2012),Undirected,3,4
SCOTT LANG,ALEXANDER PIERCE,Undirected,3,4
PETER PARKER,TONY STARK,Undirected,3,4
PETER QUILL,GAMORA,Undirected,3,4
SCOTT LANG,CLINT BARTON,Undirected,3,4
JOE RUSSO,STEVE ROGERS,Undirected,3,4
ROCKET,JAMES RHODES,Undirected,3,4
CLINT BARTON,BRUCE BANNER,Undirected,3,4
COOPER BARTON,LAURA BARTON,Undirected,3,4
KORG,BRUCE BANNER,Undirected,3,4
ROCKET,NEBULA,Undirected,3,4
ROCKET,CLINT BARTON,Undirected,2,4
STEVE ROGERS,ELEVATOR LADY,Undirected,2,4
THANOS,NATASHA ROMANOFF,Undirected,2,4
STEVE ROGERS,CAROL DANVERS,Undirected,2,4
HOWARD STARK,EDWIN JARVIS,Undirected,2,4
CLINT BARTON,STEVE ROGERS,Undirected,2,4
STEVE ROGERS,BUCKY BARNES,Undirected,2,4
JOE RUSSO,JIM STARLIN,Undirected,2,4
THANOS,STEVE ROGERS,Undirected,2,4
LAURA BARTON,NATHANIEL BARTON,Undirected,2,4
TONY STARK,DOCTOR STRANGE,Undirected,2,4
WANDA MAXIMOFF,THANOS,Undirected,2,4
PEPPER POTTS,PETER PARKER,Undirected,2,4
PEPPER POTTS,FRIDAY,Undirected,2,4
SCOTT LANG,CASSIE LANG,Undirected,2,4
STEVE ROGERS,LOKI,Undirected,2,4
PETER PARKER,CAROL DANVERS,Undirected,2,4
TONY STARK,JASPER SITWELL,Undirected,2,4
PETER PARKER,STEVE ROGERS,Undirected,1,4
VALKYRIE,TONY STARK,Undirected,1,4
BRUCE BANNER,BUCKY BARNES,Undirected,1,4
THOR,DRAX,Undirected,1,4
SCOTT LANG,THANOS,Undirected,1,4
DRAX,NEBULA,Undirected,1,4
CORVUS GLAIVE,EBONY MAW,Undirected,1,4
T'CHALLA,CLINT BARTON,Undirected,1,4
CLINT BARTON,WANDA MAXIMOFF,Undirected,1,4
SAM WILSON,TONY STARK,Undirected,1,4
STEVE ROGERS,PEPPER POTTS,Undirected,1,4
FRIDAY,ROCKET,Undirected,1,4
WANDA MAXIMOFF,OKOYE,Undirected,1,4
PETER PARKER,WANDA MAXIMOFF,Undirected,1,4
NEBULA,PETER QUILL,Undirected,1,4
GROOT,PETER QUILL,Undirected,1,4
PETER QUILL,ROCKET,Undirected,1,4
DRAX,GROOT,Undirected,1,4
MANTIS,DRAX,Undirected,1,4
ROCKET,MANTIS,Undirected,1,4
PETER PARKER,SAM WILSON,Undirected,1,4
STEVE ROGERS,HOPE VAN DYNE,Undirected,1,4
CLINT BARTON,JASPER SITWELL,Undirected,1,4
STEVE ROGERS,VALKYRIE,Undirected,1,4
BOY,SCOTT LANG,Undirected,1,4
LOKI,TONY STARK,Undirected,1,4
JAMES RHODES,GAMORA,Undirected,1,4
BRUCE BANNER,LILA BARTON,Undirected,1,4
RONIN,CLINT BARTON,Undirected,1,4
ROCKET,VALKYRIE,Undirected,1,4
SCOTT LANG,GIRL,Undirected,1,4
BRUCE BANNER,BOY,Undirected,1,4
THOR,PETER PARKER,Undirected,1,4
THANOS,ROCKET,Undirected,1,4
THANOS,JAMES RHODES,Undirected,1,4
CAROL DANVERS,THANOS,Undirected,1,4
CAROL DANVERS,THOR,Undirected,1,4
BRUCE BANNER,CAROL DANVERS,Undirected,1,4
LAURA BARTON,LILA BARTON,Undirected,1,4
JASPER SITWELL,NATASHA ROMANOFF,Undirected,1,4
