Source,Target,Type,weight,series
CLINT BARTON,COOPER BARTON,Undirected,1,4
JASPER SITWELL,SCOTT LANG,Undirected,1,4
LOKI,THOR,Undirected,1,4
RUMLOW (2012),JASPER SITWELL,Undirected,1,4
ALEXANDER PIERCE,HYDRA AGENT,Undirected,1,4
HYDRA AGENT,TONY STARK,Undirected,1,4
ROCKET,ASGARDIAN SOLDIER (2013),Undirected,1,4
ASGARDIAN SOLDIER (2013),THOR,Undirected,1,4
THOR,EVERYONE,Undirected,1,4
EVERYONE,STEVE ROGERS,Undirected,1,4
FRIDAY,BRUCE BANNER,Undirected,1,4
TONY STARK,BRUCE ROGERS,Undirected,1,4
BRUCE ROGERS,THOR,Undirected,1,4
CLINT BARTON,GAMORA,Undirected,1,4
DOCTOR STRANGE,WONG,Undirected,1,4
WONG,STEVE ROGERS,Undirected,1,4
BUCKY BARNES,SAM WILSON,Undirected,1,4
