Source,Target,Type,weight,series
STEVE ROGERS,NATASHA ROMANOFF,Undirected,29,1
THOR,LOKI,Undirected,28,1
NICK FURY,STEVE ROGERS,Undirected,22,1
NICK FURY,LOKI,Undirected,15,1
STEVE ROGERS,THOR,Undirected,15,1
NICK FURY,ERIK SELVIG,Undirected,14,1
COULSON,NATASHA ROMANOFF,Undirected,14,1
NICK FURY,TONY STARK,Undirected,13,1
SECURITY GUARD,BRUCE BANNER,Undirected,12,1
THE OTHER,LOKI,Undirected,10,1
STEVE ROGERS,COULSON,Undirected,10,1
COULSON,TONY STARK,Undirected,9,1
COULSON,THOR,Undirected,8,1
BRUCE BANNER,THOR,Undirected,8,1
STEVE ROGERS,CLINT BARTON,Undirected,8,1
LOKI,COULSON,Undirected,7,1
NATASHA ROMANOFF,ERIK SELVIG,Undirected,5,1
LITTLE GIRL,BRUCE BANNER,Undirected,5,1
NICK FURY,HELMSMAN,Undirected,4,1
LOKI,ELDER GERMAN MAN,Undirected,4,1
ERIK SELVIG,CLINT BARTON,Undirected,4,1
NICK FURY,NATASHA ROMANOFF,Undirected,4,1
THOR,NATASHA ROMANOFF,Undirected,4,1
LOKI,CLINT BARTON,Undirected,4,1
COULSON,PEPPER POTTS,Undirected,4,1
LOKI,ERIK SELVIG,Undirected,3,1
NICK FURY,SHIELD AGENT,Undirected,2,1
YOUNG COP,POLICE SERGEANT,Undirected,2,1
CLINT BARTON,MARIA HILL,Undirected,2,1
GEORGI LUCHKOV,WEASELY THUG,Undirected,2,1
PILOT,MARIA HILL,Undirected,1,1
OLD MAN,SENATOR BOYNTON,Undirected,1,1
MARIA HILL,ESCORT 0-6 PILOT,Undirected,1,1
STEVE ROGERS,POLICE SERGEANT,Undirected,1,1
YOUNG COP,STEVE ROGERS,Undirected,1,1
LOKI,BRUCE BANNER,Undirected,1,1
THOR,CLINT BARTON,Undirected,1,1
JASPER SITWELL,MARIA HILL,Undirected,1,1
ESCORT 0-6 PILOT,ESCORT 606 PILOT,Undirected,1,1
BRUCE BANNER,COULSON,Undirected,1,1
SHIELD BASE VOICE,CLINT BARTON,Undirected,1,1
COULSON,MARIA HILL,Undirected,1,1
BRUCE BANNER,MARIA HILL,Undirected,1,1
PILOT,STEVE ROGERS,Undirected,1,1
JARVIS,COULSON,Undirected,1,1
PEPPER POTTS,JARVIS,Undirected,1,1
SHIELD SCIENCETIST,NICK FURY,Undirected,1,1
PEGGY CARTER,SHIELD SCIENCETIST,Undirected,1,1
STEVE ROGERS,PEGGY CARTER,Undirected,1,1
ATTENDING WOMAN,LITTLE GIRL,Undirected,1,1
GEORGI LUCHKOV,COULSON,Undirected,1,1
GENERAL LUCHKOV,NATASHA ROMANOFF,Undirected,1,1
NASA SCIENCETIST,CLINT BARTON,Undirected,1,1
NICK FURY,NASA SCIENCETIST,Undirected,1,1
SENATOR BOYNTON,WAITRESS,Undirected,1,1
