Source,Target,Type,weight,series
CAPTAIN AMERICA,BLACK WIDOW,Undirected,29,1
THOR,LOKI,Undirected,28,1
NICK FURY,CAPTAIN AMERICA,Undirected,22,1
NICK FURY,LOKI,Undirected,15,1
CAPTAIN AMERICA,THOR,Undirected,15,1
NICK FURY,SELVIG,Undirected,14,1
COULSON,BLACK WIDOW,Undirected,14,1
NICK FURY,HILL,Undirected,13,1
NICK FURY,IRON MAN,Undirected,13,1
SECURITY GUARD,BRUCE BANNER,Undirected,12,1
THE OTHER,LOKI,Undirected,10,1
CAPTAIN AMERICA,COULSON,Undirected,10,1
COULSON,IRON MAN,Undirected,9,1
COULSON,THOR,Undirected,8,1
BRUCE BANNER,THOR,Undirected,8,1
CAPTAIN AMERICA,HAWKEYE,Undirected,8,1
LOKI,COULSON,Undirected,7,1
BLACK WIDOW,SELVIG,Undirected,5,1
LITTLE GIRL,BRUCE BANNER,Undirected,5,1
NICK FURY,HELMSMAN,Undirected,4,1
LOKI,ELDER GERMAN MAN,Undirected,4,1
SELVIG,HAWKEYE,Undirected,4,1
NICK FURY,BLACK WIDOW,Undirected,4,1
THOR,BLACK WIDOW,Undirected,4,1
LOKI,HAWKEYE,Undirected,4,1
COULSON,PEPPER,Undirected,4,1
LOKI,SELVIG,Undirected,3,1
NICK FURY,SHIELD AGENT,Undirected,2,1
YOUNG COP,POLICE SERGEANT,Undirected,2,1
HAWKEYE,HILL,Undirected,2,1
LUCHKOV,WEASELY THUG,Undirected,2,1
PILOT,MARIA HILL,Undirected,1,1
OLD MAN,SENATOR BOYNTON,Undirected,1,1
MARIA HILL,ESCORT 0-6 PILOT,Undirected,1,1
CAPTAIN AMERICA,POLICE SERGEANT,Undirected,1,1
YOUNG COP,CAPTAIN AMERICA,Undirected,1,1
LOKI,HULK,Undirected,1,1
THOR,HAWKEYE,Undirected,1,1
SITWELL,MARIA HILL,Undirected,1,1
ESCORT 0-6 PILOT,ESCORT 606 PILOT,Undirected,1,1
BRUCE BANNER,COULSON,Undirected,1,1
SHIELD BASE VOICE,HAWKEYE,Undirected,1,1
COULSON,MARIA HILL,Undirected,1,1
BRUCE BANNER,HILL,Undirected,1,1
PILOT,CAPTAIN AMERICA,Undirected,1,1
JARVIS,COULSON,Undirected,1,1
PEPPER,JARVIS,Undirected,1,1
SHIELD SCIENCETIST,NICK FURY,Undirected,1,1
PEGGY CARTER,SHIELD SCIENCETIST,Undirected,1,1
CAPTAIN AMERICA,PEGGY CARTER,Undirected,1,1
ATTENDING WOMAN,LITTLE GIRL,Undirected,1,1
LUCHKOV,COULSON,Undirected,1,1
GENERAL LUCHKOV,BLACK WIDOW,Undirected,1,1
NASA SCIENCETIST,HAWKEYE,Undirected,1,1
NICK FURY,NASA SCIENCETIST,Undirected,1,1
SENATOR BOYNTON,WAITRESS,Undirected,1,1
