Source,Target,Type,weight,series
SPIDERMAN,MANTIS,Undirected,1,3
THOR,EBONY MAW,Undirected,1,3
HEIMDALL,THANOS,Undirected,1,3
BLACK PANTHER,BRUCE BANNER,Undirected,1,3
EBONY MAW,HEIMDALL,Undirected,1,3
SHURI,OKOYE,Undirected,1,3
FALCON,BUCKY BARNES,Undirected,1,3
BUCKY BARNES,JAMES RHODES,Undirected,1,3
CAPTAIN AMERICA,WANDA MAXIMOFF,Undirected,1,3
JAMES RHODES,WANDA MAXIMOFF,Undirected,1,3
