Source,Target,Type,weight,series
IRON MAN,ANTMAN,Undirected,49,4
IRON MAN,HOWARD STARK,Undirected,45,4
FRIGGA,THOR,Undirected,35,4
BRUCE BANNER,CAPTAIN AMERICA,Undirected,31,4
BRUCE BANNER,ANTMAN,Undirected,29,4
BRUCE BANNER,THE ANCIENT ONE (2012),Undirected,28,4
IRON MAN,MORGAN STARK,Undirected,26,4
ANTMAN,CAPTAIN AMERICA,Undirected,22,4
THOR,IRON MAN,Undirected,22,4
BLACK WIDOW,CAPTAIN AMERICA,Undirected,20,4
BRUCE BANNER,THOR,Undirected,17,4
BLACK WIDOW,BRUCE BANNER,Undirected,17,4
ANTMAN,RHODEY,Undirected,14,4
BLACK WIDOW,RHODEY,Undirected,13,4
THOR,STAR-LORD,Undirected,13,4
THOR,KORG,Undirected,13,4
IRON MAN,RHODEY,Undirected,12,4
GAMORA,THANOS,Undirected,12,4
CAPTAIN AMERICA,HANK PYM,Undirected,9,4
HAWKEYE,LILA BARTON,Undirected,9,4
BLACK WIDOW,IRON MAN,Undirected,9,4
VALKYRIE,THOR,Undirected,9,4
IRON MAN,FRIDAY,Undirected,9,4
CAROL DANVERS,BLACK WIDOW,Undirected,8,4
ROCKET,BRUCE BANNER,Undirected,8,4
BRUCE BANNER,VALKYRIE,Undirected,8,4
THOR,HAWKEYE,Undirected,8,4
ANTMAN,ROCKET,Undirected,8,4
HAPPY,MORGAN STARK,Undirected,7,4
FALCON,BRUCE BANNER,Undirected,7,4
BLACK WIDOW,RED SKULL,Undirected,7,4
SECURITY OFFICER,ELEVATOR LADY,Undirected,6,4
RHODEY,CAROL DANVERS,Undirected,6,4
ROCKET,CAROL DANVERS,Undirected,6,4
THOR,CAPTAIN AMERICA,Undirected,6,4
RHODEY,HAWKEYE,Undirected,5,4
BRUCE BANNER,GIRL,Undirected,5,4
NEBULA,BLACK WIDOW,Undirected,5,4
FRIGGA,ROCKET,Undirected,5,4
THANOS,BRUCE BANNER,Undirected,5,4
NEBULA,IRON MAN,Undirected,5,4
THOR,ANTMAN,Undirected,5,4
